SampleID;Tissue;Condition;Replicate;bamReads;Peaks;PeakCaller
LPS1;Monocytes;LPS;1;/goodbams/LPS_24h_1.sorted.bam;/goodbams/LPS1_peaks.xls;macs
LPS2;Monocytes;LPS;2;/goodbams/LPS_24h_2.sorted.bam;/goodbams/LPS2_peaks.xls;macs
LPS3;Monocytes;LPS;3;/goodbams/LPS_24h_3.sorted.bam;/goodbams/LPS3_peaks.xls;macs
LPS_VitD1;Monocytes;LPS_VitD;1;/goodbams/LPS_vitD_24h_1.sorted.bam;/goodbams/LPS_VitD1_peaks.xls;macs
LPS_VitD2;Monocytes;LPS_VitD;2;/goodbams/LPS_vitD_24h_2.sorted.bam;/goodbams/LPS_VitD2_peaks.xls;macs
LPS_VitD3;Monocytes;LPS_VitD;3;/goodbams/LPS_vitD_24h_3.sorted.bam;/goodbams/LPS_VitD3_peaks.xls;macs
TNF1;Monocytes;TNF;1;/goodbams/TNF_24h_1.sorted.bam;/goodbams/TNF1_peaks.xls;macs
TNF2;Monocytes;TNF;2;/goodbams/TNF_24h_2.sorted.bam;/goodbams/TNF2_peaks.xls;macs
TNF3;Monocytes;TNF;3;/goodbams/TNF_24h_3.sorted.bam;/goodbams/TN34_peaks.xls;macs
TNF_VitD1;Monocytes;TNF_VitD;1;/goodbams/TNF_vitD_24h_1.sorted.bam;/goodbams/TNF_VitD1_peaks.xls;macs
TNF_VitD2;Monocytes;TNF_VitD;2;/goodbams/TNF_vitD_24h_2.sorted.bam;/goodbams/TNF_VitD2_peaks.xls;macs
Control1;Monocytes;Control;1;/goodbams/VEH_24h_1.sorted.bam;/goodbams/VEH1_peaks.xls;macs
Control2;Monocytes;Control;2;/goodbams/VEH_24h_2.sorted.bam;/goodbams/VEH2_peaks.xls;macs
Control3;Monocytes;Control;3;/goodbams/VEH_24h_3.sorted.bam;/goodbams/VEH3_peaks.xls;macs
VitD1;Monocytes;VitD;1;/goodbams/VEH_vitD_24h_1.sorted.bam;/goodbams/VEH_VitD1_peaks.xls;macs
VitD2;Monocytes;VitD;2;/goodbams/VEH_vitD_24h_2.sorted.bam;/goodbams/VEH_VitD2_peaks.xls;macs
VitD3;Monocytes;VitD;3;/goodbams/VEH_vitD_24h_3.sorted.bam;/goodbams/VEH_VitD3_peaks.xls;macs
