ID;Treatment;Factor;VitD
LPS_24h_1;LPS;LPS;0
LPS_24h_2;LPS;LPS;0
LPS_24h_3;LPS;LPS;0
LPS_vitD_24h_1;LPS_VitD;LPS;1
LPS_vitD_24h_2;LPS_VitD;LPS;1
LPS_vitD_24h_3;LPS_VitD;LPS;1
TNF_24h_1;TNF;TNF;0
TNF_24h_2;TNF;TNF;0
TNF_24h_3;TNF;TNF;0
TNF_vitD_24h_1;TNF_VitD;TNF;1
TNF_vitD_24h_2;TNF_VitD;TNF;1
TNF_vitD_24h_3;TNF_VitD;TNF;1
VEH_24h_1;VEH_24;Control;0
VEH_24h_2;VEH_24;Control;0
VEH_24h_3;VEH_24;Control;0
VEH_vitD_24h_1;VEH_VitD_24;Control;1
VEH_vitD_24h_2;VEH_VitD_24;Control;1
VEH_vitD_24h_3;VEH_VitD_24;Control;1
